"","drate","nDT","LL","BIC","AIC","sub_nr"
"1",-0.0345885829256787,0.144906725923639,1247.13188727511,2502.9252412308,2498.26377455023,104
"2",0.156608279938956,0.933437653089955,1173.67345489525,2356.53714949076,2351.34690979049,105
"3",0.541400158718845,0.81861960137288,1099.11647920633,2206.67197382301,2202.23295841266,108
"4",0.442378871636395,0.828946604549801,1035.35617187048,2079.29326262326,2074.71234374097,109
"5",0.0487353573977317,1.47911172585922,1021.02417198803,2050.787239681,2046.04834397606,110
"6",0.33722677069088,0.792967343027081,1140.66565380821,2290.58125324299,2285.33130761642,111
"7",0.332890295028445,1.26267112777185,978.84090341585,1966.7253839858,1961.6818068317,112
"8",0.347842525456827,1.17562460933154,1141.20345991271,2291.6957016237,2286.40691982542,113
"9",0.310221979334624,0.638232662680686,1148.42943423417,2306.22313092258,2300.85886846834,114
"10",0.690765711122635,0.735417528678611,1057.94492275768,2124.77514802833,2119.88984551535,115
"11",1.00449155201703,0.572652479446073,1018.63607111175,2046.15744473648,2041.2721422235,117
"12",0.965145348723547,0.932520553744385,1043.84577358414,2096.64622079724,2091.69154716828,120
"13",0.11007563202051,0.913428402899366,1142.85328294648,2295.17896278975,2289.70656589296,121
"14",0.233639939659316,1.11619285837492,994.543180242136,1997.66727936657,1993.08636048427,122
"15",0.625142485282978,0.622468487473966,963.99177236513,1936.7724430396,1931.98354473026,124
"16",0.40211108393854,0.697474183803007,1131.32199414644,2271.7934102499,2266.64398829289,125
"17",0.109394926652219,0.488992082423002,1085.67717785246,2180.82675260172,2175.35435570493,126
"18",0.684201975183531,0.810350690912098,1062.76526399612,2134.5078007317,2129.53052799224,127
"19",0.462993278910777,0.946622305435131,1116.15389257824,2241.35136231059,2236.30778515649,130
"20",0.444499084660168,1.26204759995407,1142.29228204691,2293.67115365837,2288.58456409383,131
"21",0.155479389678925,1.09980949635966,1199.01113432526,2407.61384974171,2402.02226865051,133
"22",0.112226674901234,0.10442650127474,1068.56253510442,2146.31530990911,2141.12507020884,134
"23",0.0596427845857604,0.50803691772075,1118.37668265245,2244.97511303325,2240.7533653049,135
"24",-0.00928072073113154,0.270453620589786,492.619655781289,993.141798999742,989.239311562579,137
"25",0.156579011119444,0.50553167827058,884.987656652237,1778.73936657382,1773.97531330447,138
"26",0.12603478297053,0.79149992292379,1059.13312495716,2126.42132480213,2122.26624991432,139
"27",0.0460135229088577,1.17877523281372,1099.38069751211,2208.06931572454,2202.76139502422,140
